day,start,end,class,subject,teacher_email,room
1,08:30,09:20,9A,Science,teacher7@highschool.com,101
1,09:20,09:50,9A,Mathematics,teacher7@highschool.com,102
1,10:10,11:00,9A,Computer Science,teacher23@highschool.com,103
1,11:00,11:50,9A,Hindi,teacher23@highschool.com,104
1,11:50,12:50,9A,English,teacher23@highschool.com,105
1,13:20,14:10,9A,SSC,teacher34@highschool.com,106
1,14:10,14:50,9A,Science,teacher7@highschool.com,107
1,08:30,09:20,9B,Mathematics,teacher8@highschool.com,108
1,09:20,09:50,9B,Computer Science,teacher24@highschool.com,109
1,10:10,11:00,9B,Hindi,teacher24@highschool.com,110
1,11:00,11:50,9B,English,teacher24@highschool.com,111
1,11:50,12:50,9B,SSC,teacher35@highschool.com,112
1,13:20,14:10,9B,Science,teacher8@highschool.com,113
1,14:10,14:50,9B,Mathematics,teacher8@highschool.com,114
1,08:30,09:20,9C,Computer Science,teacher16@highschool.com,115
1,09:20,09:50,9C,Hindi,teacher27@highschool.com,116
1,10:10,11:00,9C,English,teacher27@highschool.com,117
1,11:00,11:50,9C,SSC,teacher27@highschool.com,118
1,11:50,12:50,9C,Science,teacher9@highschool.com,119
1,13:20,14:10,9C,Mathematics,teacher9@highschool.com,120
1,14:10,14:50,9C,Computer Science,teacher16@highschool.com,121
1,08:30,09:20,10A,Hindi,teacher28@highschool.com,122
1,09:20,09:50,10A,English,teacher28@highschool.com,123
1,10:10,11:00,10A,SSC,teacher28@highschool.com,124
1,11:00,11:50,10A,Science,teacher10@highschool.com,125
1,11:50,12:50,10A,Mathematics,teacher10@highschool.com,126
1,13:20,14:10,10A,Computer Science,teacher17@highschool.com,127
1,14:10,14:50,10A,Hindi,teacher28@highschool.com,128
1,08:30,09:20,10B,English,teacher29@highschool.com,129
1,09:20,09:50,10B,SSC,teacher29@highschool.com,130
1,10:10,11:00,10B,Science,teacher18@highschool.com,101
1,11:00,11:50,10B,Mathematics,teacher11@highschool.com,102
1,11:50,12:50,10B,Computer Science,teacher18@highschool.com,103
1,13:20,14:10,10B,Hindi,teacher29@highschool.com,104
1,14:10,14:50,10B,English,teacher29@highschool.com,105
1,08:30,09:20,10C,SSC,teacher36@highschool.com,106
1,09:20,09:50,10C,Science,teacher5@highschool.com,107
1,10:10,11:00,10C,Mathematics,teacher5@highschool.com,108
1,11:00,11:50,10C,Computer Science,teacher20@gmail.com,109
1,11:50,12:50,10C,Hindi,teacher20@gmail.com,110
1,13:20,14:10,10C,English,teacher25@highschool.com,111
1,14:10,14:50,10C,SSC,teacher36@highschool.com,112
1,08:30,09:20,11SCI,Chemistry,teacher15@highschool.com,113
1,09:20,09:50,11SCI,Mathematics,teacher15@highschool.com,114
1,10:10,11:00,11SCI,Biology,teacher15@highschool.com,115
1,11:00,11:50,11SCI,Computer Science,teacher15@highschool.com,116
1,11:50,12:50,11SCI,Physics,teacher15@highschool.com,117
1,13:20,14:10,11SCI,Chemistry,teacher15@highschool.com,118
1,14:10,14:50,11SCI,Mathematics,teacher15@highschool.com,119
1,08:30,09:20,11COM,Economics,teacher33@highschool.com,120
1,09:20,09:50,11COM,Mathematics,teacher12@highschool.com,121
1,10:10,11:00,11COM,English,teacher33@highschool.com,122
1,11:00,11:50,11COM,Accountancy,teacher33@highschool.com,123
1,11:50,12:50,11COM,Business Studies,teacher33@highschool.com,124
1,13:20,14:10,11COM,Economics,teacher33@highschool.com,125
1,14:10,14:50,11COM,Mathematics,teacher12@highschool.com,126
1,08:30,09:20,11HUM,Psychology,teacher30@highschool.com,127
1,09:20,09:50,11HUM,English,teacher30@highschool.com,128
1,10:10,11:00,11HUM,History,teacher30@highschool.com,129
1,11:00,11:50,11HUM,Political Science,teacher30@highschool.com,130
1,11:50,12:50,11HUM,Economics,teacher30@highschool.com,101
1,13:20,14:10,11HUM,Psychology,teacher30@highschool.com,102
1,14:10,14:50,11HUM,English,teacher30@highschool.com,103
1,08:30,09:20,12SCI,Computer Science,teacher21@highschool.com,104
1,09:20,09:50,12SCI,Physics,teacher6@highschool.com,105
1,10:10,11:00,12SCI,Chemistry,teacher6@highschool.com,106
1,11:00,11:50,12SCI,Mathematics,teacher6@highschool.com,107
1,11:50,12:50,12SCI,Biology,teacher6@highschool.com,108
1,13:20,14:10,12SCI,Computer Science,teacher21@highschool.com,109
1,14:10,14:50,12SCI,Physics,teacher6@highschool.com,110
1,08:30,09:20,12COM,Accountancy,teacher37@highschool.com,111
1,09:20,09:50,12COM,Business Studies,teacher32@highschool.com,112
1,10:10,11:00,12COM,Economics,teacher37@highschool.com,113
1,11:00,11:50,12COM,Mathematics,teacher13@highschool.com,114
1,11:50,12:50,12COM,English,teacher32@highschool.com,115
1,13:20,14:10,12COM,Accountancy,teacher37@highschool.com,116
1,14:10,14:50,12COM,Business Studies,teacher37@highschool.com,117
1,08:30,09:20,12HUM,Political Science,teacher31@highschool.com,118
1,09:20,09:50,12HUM,Economics,teacher31@highschool.com,119
1,10:10,11:00,12HUM,Psychology,teacher31@highschool.com,120
1,11:00,11:50,12HUM,English,teacher31@highschool.com,121
1,11:50,12:50,12HUM,History,teacher31@highschool.com,122
1,13:20,14:10,12HUM,Political Science,teacher31@highschool.com,123
1,14:10,14:50,12HUM,Economics,teacher31@highschool.com,124
2,08:30,09:20,9A,Mathematics,teacher7@highschool.com,101
2,09:20,09:50,9A,Computer Science,teacher23@highschool.com,102
2,10:10,11:00,9A,Hindi,teacher23@highschool.com,103
2,11:00,11:50,9A,English,teacher23@highschool.com,104
2,11:50,12:50,9A,SSC,teacher34@highschool.com,105
2,13:20,14:10,9A,Science,teacher7@highschool.com,106
2,14:10,14:50,9A,Mathematics,teacher7@highschool.com,107
2,08:30,09:20,9B,Computer Science,teacher24@highschool.com,108
2,09:20,09:50,9B,Hindi,teacher24@highschool.com,109
2,10:10,11:00,9B,English,teacher24@highschool.com,110
2,11:00,11:50,9B,SSC,teacher35@highschool.com,111
2,11:50,12:50,9B,Science,teacher8@highschool.com,112
2,13:20,14:10,9B,Mathematics,teacher8@highschool.com,113
2,14:10,14:50,9B,Computer Science,teacher24@highschool.com,114
2,08:30,09:20,9C,Hindi,teacher27@highschool.com,115
2,09:20,09:50,9C,English,teacher27@highschool.com,116
2,10:10,11:00,9C,SSC,teacher27@highschool.com,117
2,11:00,11:50,9C,Science,teacher9@highschool.com,118
2,11:50,12:50,9C,Mathematics,teacher9@highschool.com,119
2,13:20,14:10,9C,Computer Science,teacher16@highschool.com,120
2,14:10,14:50,9C,Hindi,teacher27@highschool.com,121
2,08:30,09:20,10A,English,teacher28@highschool.com,122
2,09:20,09:50,10A,SSC,teacher28@highschool.com,123
2,10:10,11:00,10A,Science,teacher10@highschool.com,124
2,11:00,11:50,10A,Mathematics,teacher10@highschool.com,125
2,11:50,12:50,10A,Computer Science,teacher17@highschool.com,126
2,13:20,14:10,10A,Hindi,teacher28@highschool.com,127
2,14:10,14:50,10A,English,teacher28@highschool.com,128
2,08:30,09:20,10B,SSC,teacher29@highschool.com,129
2,09:20,09:50,10B,Science,teacher11@highschool.com,130
2,10:10,11:00,10B,Mathematics,teacher11@highschool.com,101
2,11:00,11:50,10B,Computer Science,teacher18@highschool.com,102
2,11:50,12:50,10B,Hindi,teacher29@highschool.com,103
2,13:20,14:10,10B,English,teacher29@highschool.com,104
2,14:10,14:50,10B,SSC,teacher29@highschool.com,105
2,08:30,09:20,10C,Science,teacher5@highschool.com,106
