day,start,end,class,subject,teacher_email,room
1,08:00,08:45,10A,Mathematics,teacher1@highschool.com,101
1,08:50,09:35,10A,Physics,teacher2@highschool.com,102
1,09:40,10:25,10A,English,teacher1@highschool.com,103
1,10:45,11:30,10A,Chemistry,teacher2@highschool.com,104
1,11:35,12:20,10A,History,teacher1@highschool.com,105
1,12:25,13:10,10A,Computer Science,teacher2@highschool.com,106
2,08:00,08:45,10A,Physics,teacher2@highschool.com,102
2,08:50,09:35,10A,Mathematics,teacher1@highschool.com,101
2,09:40,10:25,10A,Chemistry,teacher2@highschool.com,104
2,10:45,11:30,10A,English,teacher1@highschool.com,103
2,11:35,12:20,10A,Computer Science,teacher2@highschool.com,106
2,12:25,13:10,10A,History,teacher1@highschool.com,105
3,08:00,08:45,10A,English,teacher1@highschool.com,103
3,08:50,09:35,10A,Mathematics,teacher1@highschool.com,101
3,09:40,10:25,10A,History,teacher2@highschool.com,105
3,10:45,11:30,10A,Physics,teacher2@highschool.com,102
3,11:35,12:20,10A,Chemistry,teacher1@highschool.com,104
3,12:25,13:10,10A,Computer Science,teacher2@highschool.com,106
4,08:00,08:45,10A,Chemistry,teacher2@highschool.com,104
4,08:50,09:35,10A,English,teacher1@highschool.com,103
4,09:40,10:25,10A,Mathematics,teacher2@highschool.com,101
4,10:45,11:30,10A,Computer Science,teacher1@highschool.com,106
4,11:35,12:20,10A,Physics,teacher2@highschool.com,102
4,12:25,13:10,10A,History,teacher1@highschool.com,105
5,08:00,08:45,10A,Mathematics,teacher1@highschool.com,101
5,08:50,09:35,10A,Physics,teacher2@highschool.com,102
5,09:40,10:25,10A,English,teacher1@highschool.com,103
5,10:45,11:30,10A,History,teacher2@highschool.com,105
5,11:35,12:20,10A,Chemistry,teacher1@highschool.com,104
5,12:25,13:10,10A,Computer Science,teacher2@highschool.com,106
